"","year","uniqueid","grouped_label","home_rule_ind","lim_rate","agency_name","agency_num","total_final_levy","cty_total_eav","av","Triad","agency_count","reassess_year","log_eav","log_levy","log_av","bundled","panel_id","first2_dig","town","count"
"1","2006","Alsip_1_0","Alsip","1",NA,"VILLAGE OF ALSIP","030010000",5740625,680364001,251279362.165756,"South",1,"0",20.3381385085031,15.5630786473856,19.3420758748508,0,NA,"03","Muni",17
"2","2006","Arlington Heights_1_1","Arlington Heights","1",NA,"VILLAGE OF ARLINGTON HEIGHTS","030020000",36783533,2879822401.84758,1063607032.74028,"North",2,"0",21.7809944631677,17.4205608301672,20.7849318295154,1,NA,"03","Muni",17
"3","2006","Bedford Park_1_0","Bedford Park","1",NA,"VILLAGE OF BEDFORD PARK","030060000",9565737,453469610,167480281.430049,"South",1,"0",19.9324388131462,16.0736982096393,18.9363761794938,0,NA,"03","Muni",17
"4","2006","Bellwood_1_1","Bellwood","1",NA,"VILLAGE OF BELLWOOD","030070000",14163703,298629447,110293044.393559,"South",2,"0",19.5147140550858,16.4661931233412,18.5186514214335,1,NA,"03","Muni",17
"5","2006","Berkeley_1_1","Berkeley","1",NA,"VILLAGE OF BERKELEY","030090000",3372993,116021261,42850221.9677944,"South",2,"0",18.5692840167588,15.0313110387377,17.5732213831065,1,NA,"03","Muni",17
"6","2006","Berwyn_1_1","Berwyn","1",NA,"CITY OF BERWYN","030100000",17756832,801413358,295986614.714138,"South",2,"0",20.5018874243578,16.6922809012386,19.5058247907055,1,NA,"03","Muni",17
"7","2006","Bridgeview_1_1","Bridgeview","1",NA,"VILLAGE OF BRIDGEVIEW","030120000",4823956,508058679,187641704.461516,"South",2,"0",20.0461075087145,15.3891048962862,19.0500448750622,1,NA,"03","Muni",17
"8","2006","Burbank_1_0","Burbank","1",NA,"CITY OF BURBANK","030160000",4436821,516206027,190650770.793323,"South",1,"0",20.0620165208877,15.3054486869735,19.0659538872354,0,NA,"03","Muni",17
"9","2006","Burnham_1_0","Burnham","1",NA,"VILLAGE OF BURNHAM","030170000",1463269,57822621,21355673.2899985,"South",1,"0",17.8728906238606,14.1961835318633,16.8768279902083,0,NA,"03","Muni",17
"10","2006","Calumet City_1_1","Calumet City","1",NA,"CITY OF CALUMET CITY","030190000",18138664,583287124,215425884.17787,"South",2,"0",20.184190117076,16.7135563505454,19.1881274834237,1,NA,"03","Muni",17
"11","2006","Calumet Park_1_1","Calumet Park","1",NA,"VILLAGE OF CALUMET PARK","030200000",2975551,80847357,29859416.82671,"South",2,"0",18.2080734532861,14.9059397898966,17.2120108196338,1,NA,"03","Muni",17
"12","2006","Chicago_1_1","Chicago","1",NA,"CITY OF CHICAGO","030210000",737922689,69485095059.2885,25662983845.2092,"City",2,"1",24.9643781069388,20.4193496196247,23.9683154732865,1,NA,"03","Muni",17
"13","2006","Chicago Heights_1_1","Chicago Heights","1",NA,"CITY OF CHICAGO HEIGHTS","030220000",14226373,427046450,157721395.331659,"South",2,"0",19.8724033474779,16.4706080535298,18.8763407138256,1,NA,"03","Muni",17
